ID	Pop.total	Pop.term	Study.total	Study.term	p	p.adjusted	p.min	name
GO:0032501	10467	3342	33	25	2.8667495170288866E-7	3.2961016719893594E-4	0.0	"multicellular organismal process"
GO:0030593	10467	47	33	5	3.1689500935406754E-7	3.2961016719893594E-4	3.356929331998284E-130	"neutrophil chemotaxis"
GO:0009888	10467	969	33	14	4.720768577870606E-7	3.2961016719893594E-4	0.0	"tissue development"
GO:0006954	10467	329	33	9	5.318437550608083E-7	3.2961016719893594E-4	0.0	"inflammatory response"
GO:1990266	10467	55	33	5	7.059409586616681E-7	3.50005527304455E-4	1.1889973803425851E-148	"neutrophil migration"
GO:0071621	10467	59	33	5	1.0068991766582626E-6	4.1601717648930545E-4	1.1057003362714386E-157	"granulocyte chemotaxis"
GO:0005576	10467	1840	33	18	1.6758836466825325E-6	5.935022228751426E-4	0.0	"extracellular region"
GO:0048513	10467	1659	33	17	2.1164095570711296E-6	6.088329206912244E-4	0.0	"animal organ development"
GO:0097530	10467	69	33	5	2.210365585405817E-6	6.088329206912244E-4	9.185996778562399E-180	"granulocyte migration"
GO:0050900	10467	205	33	7	2.7664488210778024E-6	6.858026627451872E-4	0.0	"leukocyte migration"
GO:0045766	10467	76	33	5	3.5771782431458127E-6	8.061658967962245E-4	7.717439082410579E-195	"positive regulation of angiogenesis"
GO:0070268	10467	35	33	4	4.001541007871476E-6	8.266516798761157E-4	2.213959038864481E-101	"cornification"
GO:0031424	10467	38	33	4	5.603784447056916E-6	9.512887170165005E-4	9.873691889082908E-109	"keratinization"
GO:0019221	10467	439	33	9	5.8088837733772506E-6	9.512887170165005E-4	0.0	"cytokine-mediated signaling pathway"
GO:0036158	10467	12	33	3	6.16161894622419E-6	9.512887170165005E-4	2.7874670034475555E-40	"outer dynein arm assembly"
GO:1903575	10467	39	33	4	6.23037807361518E-6	9.512887170165005E-4	3.6923385144897216E-111	"cornified envelope assembly"
GO:1904018	10467	86	33	5	6.594143034940588E-6	9.512887170165005E-4	6.786676598374674E-216	"positive regulation of vasculature development"
GO:0003810	10467	40	33	4	6.9073000832178335E-6	9.512887170165005E-4	1.4163170366395745E-113	"protein-glutamine gamma-glutamyltransferase activity"
GO:0016755	10467	42	33	4	8.422268051049254E-6	0.001014076015257621	2.243450709872025E-118	"transferase activity, transferring amino-acyl groups"
GO:0030141	10467	464	33	9	9.10791980626505E-6	0.001014076015257621	0.0	"secretory granule"
GO:0031620	10467	2	33	2	9.639643296023466E-6	0.001014076015257621	1.8256900181835124E-8	"regulation of fever generation"
