ID	Pop.total	Pop.term	Study.total	Study.term	p	p.adjusted	p.min	name
GO:0031982	10920	2296	764	252	9.119646226400949E-16	5.33576353280975E-12	0.0	"vesicle"
GO:0048856	10920	2936	764	303	1.1583118490849343E-15	5.33576353280975E-12	0.0	"anatomical structure development"
GO:0110165	10920	9770	764	739	1.035390043666142E-14	3.179682824098722E-11	0.0	"cellular anatomical entity"
GO:0005622	10920	9074	764	705	1.5693952787982347E-14	3.614709675892034E-11	0.0	"intracellular anatomical structure"
GO:0003674	10920	9764	764	738	2.65808933449349E-14	4.8977954077377043E-11	0.0	"molecular_function"
GO:0005575	10920	9840	764	741	4.118380546841272E-14	6.323773329674773E-11	0.0	"cellular_component"
GO:0005515	10920	8085	764	648	8.509660392756282E-14	1.0001205771674125E-10	0.0	"protein binding"
GO:0005488	10920	9172	764	708	1.0982421950584385E-13	1.0001205771674125E-10	0.0	"binding"
GO:0008150	10920	9491	764	724	1.1383857132695753E-13	1.0001205771674125E-10	0.0	"biological_process"
GO:0071310	10920	1414	764	170	1.150161147520866E-13	1.0001205771674125E-10	0.0	"cellular response to organic substance"
GO:0048513	10920	1681	764	193	1.3746245065792461E-13	1.0001205771674125E-10	0.0	"animal organ development"
GO:1903561	10920	1316	764	161	1.4112197441849954E-13	1.0001205771674125E-10	0.0	"extracellular vesicle"
GO:0043230	10920	1316	764	161	1.4112197441849954E-13	1.0001205771674125E-10	0.0	"extracellular organelle"
GO:0070887	10920	1732	764	197	1.7606238421238603E-13	1.158616246963366E-10	0.0	"cellular response to chemical stimulus"
GO:0010033	10920	1736	764	197	2.217073609288447E-13	1.3617266108249641E-10	0.0	"response to organic substance"
GO:0009888	10920	989	764	130	3.1726523931254235E-13	1.826852906116533E-10	0.0	"tissue development"
GO:0032502	10920	3228	764	316	3.83147909073286E-13	2.012741251237564E-10	0.0	"developmental process"
GO:0005576	10920	1960	764	215	3.9324153394416747E-13	2.012741251237564E-10	0.0	"extracellular region"
GO:0005615	10920	1609	764	185	4.748250658386573E-13	2.3024017534587105E-10	0.0	"extracellular space"
GO:0050896	10920	4524	764	411	6.294083829160372E-13	2.899369715902725E-10	0.0	"response to stimulus"
GO:0032501	10920	3507	764	336	7.423494401501557E-13	3.2567930438587543E-10	0.0	"multicellular organismal process"
GO:0070062	10920	1309	764	158	8.042552929600073E-13	3.275755721728573E-10	0.0	"extracellular exosome"
GO:0005737	10920	7348	764	600	8.177833669788037E-13	3.275755721728573E-10	0.0	"cytoplasm"
GO:0048731	10920	2370	764	247	1.0408603764543244E-12	3.9956027701140376E-10	0.0	"system development"
GO:0007275	10920	2656	764	269	1.6647668088439035E-12	6.134998643951553E-10	0.0	"multicellular organism development"
GO:0050789	10920	6220	764	526	1.8544531700200014E-12	6.571183482843951E-10	0.0	"regulation of biological process"
