Gene	Isoform	ExplogFC/FC	P
ENSG00000000003	Expression	-0.00136723650460457	0.99038
ENSG00000000003	ENST00000373020	1.00018539585524	0.97436
ENSG00000000003	ENST00000612152	0.993829878232247	0.97379
ENSG00000001036	Expression	-0.000522254865337912	0.99068
ENSG00000001036	ENST00000002165	1.00089863750584	0.98004
ENSG00000001036	ENST00000367585	0.87145653365121	0.79905
ENSG00000001167	Expression	-0.00754812430800275	0.98744
ENSG00000001167	ENST00000341376	1.0050787394509	0.98195
ENSG00000001167	ENST00000353205	0.967438252463707	0.97289
ENSG00000001497	Expression	0.000797903186910719	0.98931
ENSG00000001497	ENST00000374807	1.0904607255941	0.87116
ENSG00000001497	ENST00000374811	0.911473499072844	0.8907
ENSG00000001497	ENST00000484069	0.948283090936296	0.91703
ENSG00000001630	Expression	-0.0236649719857567	0.97783
ENSG00000001630	ENST00000003100	1.05656021323411	0.94476
ENSG00000001630	ENST00000450723	0.656472543695109	0.01668
ENSG00000002549	Expression	0.0116826978436472	0.98605
ENSG00000002549	ENST00000606142	1.0080552084565	0.9886
ENSG00000002549	ENST00000618908	0.951510165302938	0.97241
ENSG00000002586	Expression	-0.00142620227329675	0.98841
ENSG00000002586	ENST00000381187	0.966682014409513	0.95249
ENSG00000002586	ENST00000381192	0.884027618972572	0.81017
ENSG00000002586	ENST00000624481	1.12410943895719	0.7787
ENSG00000002919	Expression	0.00125512515415604	0.98833
ENSG00000002919	ENST00000359238	0.999790670583031	0.97224
ENSG00000002919	ENST00000393405	1.00129258227902	0.97222
ENSG00000003056	Expression	0.0113868053911173	0.98704
ENSG00000003056	ENST00000000412	1.020636857408	0.9922
ENSG00000003056	ENST00000541507	0.878730966157011	0.86052
ENSG00000003249	Expression	0.000381115994665548	0.98835
ENSG00000003249	ENST00000002501	1.0024615332037	0.97612
ENSG00000003249	ENST00000304733	0.930654749770326	0.92934
ENSG00000003393	Expression	-0.0109516147792891	0.98508
ENSG00000003393	ENST00000264276	0.991642648499228	0.97588
ENSG00000003393	ENST00000467448	1.047247299279	0.95562
ENSG00000003402	Expression	0.0031943991538718	0.98785
ENSG00000003402	ENST00000309955	0.967685664617987	0.96314
ENSG00000003402	ENST00000341222	1.02715221953472	0.96634
ENSG00000003436	Expression	-1.72030288551811	0
ENSG00000003436	ENST00000339091	1.08124951174311	0.90493
ENSG00000003436	ENST00000392365	0.959705742819824	0.95739
ENSG00000003756	Expression	-0.0092146173507716	0.98728
ENSG00000003756	ENST00000347869	1.02019123029028	0.96027
ENSG00000003756	ENST00000469838	0.834489583728502	0.63573
ENSG00000003756	ENST00000475128	0.929635904584565	0.90208
ENSG00000004455	Expression	-0.00250695294185439	0.98902
ENSG00000004455	ENST00000354858	0.850604730920746	0.73885
ENSG00000004455	ENST00000373449	1.04161627605341	0.97579
ENSG00000004534	Expression	0.00344507646620961	0.98809
ENSG00000004534	ENST00000422955	0.991402181751211	0.97853
ENSG00000004534	ENST00000454079	1.00446536294245	0.97899
ENSG00000004700	Expression	0.00225424340857938	0.98859
ENSG00000004700	ENST00000421138	1.17625490552874	0.61553
ENSG00000004700	ENST00000444129	0.885108016365842	0.84907
ENSG00000004897	Expression	-0.00468664100021991	0.98888
ENSG00000004897	ENST00000066544	0.956216103301281	0.95589
ENSG00000004897	ENST00000525495	1.03283966488132	0.95047
ENSG00000004897	ENST00000531206	1.05071114340965	0.92398
ENSG00000005156	Expression	-0.012803207023564	0.98498
ENSG00000005156	ENST00000262327	0.989018027580838	0.96696
ENSG00000005156	ENST00000378526	1.01140865526434	0.96646
ENSG00000005156	ENST00000593099	0.971515855152156	0.93792
ENSG00000005175	Expression	-0.00467459465145455	0.9889
ENSG00000005175	ENST00000005386	0.952747014289125	0.92993
ENSG00000005175	ENST00000380650	1.05594289722783	0.92643
ENSG00000005175	ENST00000432584	0.942356599658875	0.93169
ENSG00000005194	Expression	0.00857076973899662	0.98693
ENSG00000005194	ENST00000567518	0.980739309411587	0.96765
ENSG00000005194	ENST00000569370	1.10361389104676	0.85326
ENSG00000005421	Expression	-0.00514370579945417	0.98705
ENSG00000005421	ENST00000222381	1.00461285022773	0.96798
