cohort	srp	srr	category	status	isPaired	BioSample
74	SRP294125	SRR13132872	Nasal Epithelial Cells	control	PAIRED	SAMN16912185
74	SRP294125	SRR13132873	Nasal Epithelial Cells	control	PAIRED	SAMN16912185
74	SRP294125	SRR13132874	Nasal Epithelial Cells	control	PAIRED	SAMN16912184
74	SRP294125	SRR13132875	Nasal Epithelial Cells	control	PAIRED	SAMN16912184
74	SRP294125	SRR13132876	Nasal Epithelial Cells	control	PAIRED	SAMN16912183
74	SRP294125	SRR13132877	Nasal Epithelial Cells	control	PAIRED	SAMN16912183
74	SRP294125	SRR13132848	Nasal Epithelial Cells	case	PAIRED	SAMN16912171
74	SRP294125	SRR13132849	Nasal Epithelial Cells	case	PAIRED	SAMN16912171
74	SRP294125	SRR13132850	Nasal Epithelial Cells	case	PAIRED	SAMN16912170
74	SRP294125	SRR13132851	Nasal Epithelial Cells	case	PAIRED	SAMN16912170
74	SRP294125	SRR13132852	Nasal Epithelial Cells	case	PAIRED	SAMN16912169
74	SRP294125	SRR13132853	Nasal Epithelial Cells	case	PAIRED	SAMN16912169

