ID	Pop.total	Pop.term	Study.total	Study.term	p	p.adjusted	p.min	name
GO:0005886	11077	4619	104	65	1.4073870694098969E-5	0.024646976770673592	0.0	"plasma membrane"
GO:0071944	11077	4655	104	65	1.8969558012046432E-5	0.024646976770673592	0.0	"cell periphery"
GO:0005929	11077	423	104	14	3.890422222856788E-5	0.024646976770673592	0.0	"cilium"
GO:0030990	11077	423	104	14	3.890422222856788E-5	0.024646976770673592	0.0	"intraciliary transport particle"
GO:1903561	11077	1366	104	28	4.0773769705400495E-5	0.024646976770673592	0.0	"extracellular vesicle"
GO:0043230	11077	1367	104	28	4.131932400783502E-5	0.024646976770673592	0.0	"extracellular organelle"
GO:0031532	11077	72	104	6	5.6050276007738454E-5	0.02865770540452799	4.886858253490786E-188	"actin cytoskeleton reorganization"
GO:0005856	11077	1490	104	29	7.402399717738737E-5	0.03311648573723367	0.0	"cytoskeleton"
GO:0099513	11077	646	104	17	9.891701618751802E-5	0.035923338499460035	0.0	"polymeric cytoskeletal fiber"
GO:0070062	11077	1359	104	27	1.0037255797557986E-4	0.035923338499460035	0.0	"extracellular exosome"
GO:0070161	11077	423	104	13	1.5804991322449877E-4	0.051423694493680096	0.0	"anchoring junction"
GO:0005576	11077	2003	104	34	2.2906110573905162E-4	0.06053298966037659	0.0	"extracellular region"
GO:0016020	11077	5749	104	72	2.3184712256730505E-4	0.06053298966037659	0.0	"membrane"
GO:0051015	11077	132	104	7	2.3678733032838007E-4	0.06053298966037659	3.3507794045511E-310	"actin filament binding"
GO:0048306	11077	35	104	4	3.069450677782909E-4	0.0732370931719002	3.039551749887021E-102	"calcium-dependent protein binding"
GO:0099512	11077	723	104	17	3.784711603871199E-4	0.07588574728301546	0.0	"supramolecular fiber"
GO:0099081	11077	724	104	17	3.8458201917075804E-4	0.07588574728301546	0.0	"supramolecular polymer"
GO:0099080	11077	725	104	17	3.90778464211988E-4	0.07588574728301546	0.0	"supramolecular complex"
GO:0005737	11077	7374	104	85	4.2677266278585426E-4	0.07588574728301546	0.0	"cytoplasm"
GO:0015629	11077	470	104	13	4.39580606636697E-4	0.07588574728301546	0.0	"actin cytoskeleton"
GO:0044421	11077	1733	104	30	4.452642338483723E-4	0.07588574728301546	0.0	"extracellular region part"
GO:0005912	11077	415	104	12	4.984184447369708E-4	0.07830232117494453	0.0	"adherens junction"
GO:0030855	11077	358	104	11	5.220505581624818E-4	0.07830232117494453	0.0	"epithelial cell differentiation"
GO:0005615	11077	1667	104	29	5.287977451117851E-4	0.07830232117494453	0.0	"extracellular space"
GO:0099568	11077	360	104	11	5.469567000205681E-4	0.07830232117494453	0.0	"cytoplasmic region"
GO:0044877	11077	750	104	17	5.76583685538318E-4	0.07936896194390924	0.0	"protein-containing complex binding"
GO:1903575	11077	42	104	4	6.23940091638566E-4	0.08270672548053436	2.0689358512160845E-119	"cornified envelope assembly"
GO:0003810	11077	43	104	4	6.830089064797436E-4	0.08730317415325008	8.062006488697159E-122	"protein-glutamine gamma-glutamyltransferase activity"
GO:0012505	11077	2779	104	41	8.53327549609931E-4	0.0958622562661174	0.0	"endomembrane system"
GO:0002484	11077	5	104	2	8.571302675459184E-4	0.0958622562661174	7.202157081978861E-19	"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway"
GO:0002486	11077	5	104	2	8.571302675459184E-4	0.0958622562661174	7.202157081978861E-19	"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent"
GO:0019221	11077	442	104	12	8.69231953819681E-4	0.0958622562661174	0.0	"cytokine-mediated signaling pathway"
GO:0016755	11077	46	104	4	8.838933939038486E-4	0.0958622562661174	5.4674562221471445E-129	"transferase activity, transferring amino-acyl groups"
GO:0007010	11077	1016	104	20	0.001086414834624235	0.1143611380329452	0.0	"cytoskeleton organization"
GO:0002476	11077	6	104	2	0.0012778180071074759	0.12360299047128799	3.902903042949679E-22	"antigen processing and presentation of endogenous peptide antigen via MHC class Ib"
GO:0070365	11077	6	104	2	0.0012778180071074759	0.12360299047128799	3.902903042949679E-22	"hepatocyte differentiation"
GO:0016742	11077	6	104	2	0.0012778180071074759	0.12360299047128799	3.902903042949679E-22	"hydroxymethyl-, formyl- and related transferase activity"
GO:0044430	11077	1189	104	22	0.0013379997561050888	0.12601845071316087	0.0	"cytoskeletal part"
GO:0051642	11077	24	104	3	0.001409871046110947	0.12904350990516764	5.462641368016902E-74	"centrosome localization"
GO:0031982	11077	2389	104	36	0.0014422297837962295	0.12904350990516764	0.0	"vesicle"
GO:0044444	11077	6494	104	76	0.0014884743909058945	0.12993292305005358	0.0	"cytoplasmic part"
GO:0061842	11077	25	104	3	0.0015912581501635779	0.13257154401208812	1.2355562670728785E-76	"microtubule organizing center localization"
GO:0044459	11077	2055	104	32	0.0017367565495206281	0.13257154401208812	0.0	"plasma membrane part"
GO:0050839	11077	353	104	10	0.0017382695369141973	0.13257154401208812	0.0	"cell adhesion molecule binding"
GO:0002428	11077	7	104	2	0.0017779922080414167	0.13257154401208812	2.4677374492429547E-25	"antigen processing and presentation of peptide antigen via MHC class Ib"
GO:0002480	11077	7	104	2	0.0017779922080414167	0.13257154401208812	2.4677374492429547E-25	"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent"
GO:0042612	11077	7	104	2	0.0017779922080414167	0.13257154401208812	2.4677374492429547E-25	"MHC class I protein complex"
GO:0045628	11077	7	104	2	0.0017779922080414167	0.13257154401208812	2.4677374492429547E-25	"regulation of T-helper 2 cell differentiation"
GO:0071709	11077	56	104	4	0.0018517955133045929	0.13525665596157424	2.658934805297018E-152	"membrane assembly"
GO:0042995	11077	1311	104	23	0.0020751644660118866	0.14854027247713084	0.0	"cell projection"
GO:0044091	11077	59	104	4	0.0022459014510335562	0.1493878988408789	3.8754110198594464E-159	"membrane biogenesis"
GO:0005773	11077	2918	104	41	0.002340379286990047	0.1493878988408789	0.0	"vacuole"
GO:0006068	11077	8	104	2	0.002356152016082062	0.1493878988408789	1.7833694303655602E-28	"ethanol catabolic process"
GO:0045064	11077	8	104	2	0.002356152016082062	0.1493878988408789	1.7833694303655602E-28	"T-helper 2 cell differentiation"
GO:0051660	11077	8	104	2	0.002356152016082062	0.1493878988408789	1.7833694303655602E-28	"establishment of centrosome localization"
GO:0019215	11077	8	104	2	0.002356152016082062	0.1493878988408789	1.7833694303655602E-28	"intermediate filament binding"
GO:0098590	11077	1493	104	25	0.0024452364781941648	0.1493878988408789	0.0	"plasma membrane region"
GO:0005930	11077	100	104	5	0.002462667234314573	0.1493878988408789	5.2777133820614066E-247	"axoneme"
GO:0030216	11077	100	104	5	0.002462667234314573	0.1493878988408789	5.2777133820614066E-247	"keratinocyte differentiation"
GO:0097014	11077	101	104	5	0.002571913121561436	0.15341461770113968	4.856054036500114E-249	"ciliary plasm"
GO:0005622	11077	9126	104	96	0.003010223915329388	0.16616827794276873	0.0	"intracellular"
GO:0002475	11077	9	104	2	0.0030108172835684893	0.16616827794276873	1.4500248327151473E-31	"antigen processing and presentation via MHC class Ib"
GO:0044548	11077	9	104	2	0.0030108172835684893	0.16616827794276873	1.4500248327151473E-31	"S100 protein binding"
GO:0120025	11077	1271	104	22	0.0031227717240820563	0.16616827794276873	0.0	"plasma membrane bounded cell projection"
GO:0005924	11077	324	104	9	0.003369589933573433	0.16616827794276873	0.0	"cell-substrate adherens junction"
GO:0005925	11077	324	104	9	0.003369589933573433	0.16616827794276873	0.0	"focal adhesion"
GO:0022406	11077	324	104	9	0.003369589933573433	0.16616827794276873	0.0	"membrane docking"
GO:0035082	11077	265	104	8	0.00343426998351795	0.16616827794276873	0.0	"axoneme assembly"
GO:0035735	11077	265	104	8	0.00343426998351795	0.16616827794276873	0.0	"intraciliary transport involved in cilium assembly"
GO:1905349	11077	265	104	8	0.00343426998351795	0.16616827794276873	0.0	"ciliary transition zone assembly"
GO:0060271	11077	265	104	8	0.00343426998351795	0.16616827794276873	0.0	"cilium assembly"
GO:0097711	11077	265	104	8	0.00343426998351795	0.16616827794276873	0.0	"ciliary basal body-plasma membrane docking"
GO:0097712	11077	265	104	8	0.00343426998351795	0.16616827794276873	0.0	"vesicle targeting, trans-Golgi to periciliary membrane compartment"
GO:0030850	11077	33	104	3	0.0035750521544412554	0.16616827794276873	3.115129105830527E-97	"prostate gland development"
GO:0030055	11077	327	104	9	0.003581022303052338	0.16616827794276873	0.0	"cell-substrate junction"
GO:0042073	11077	268	104	8	0.0036769417305549295	0.16616827794276873	0.0	"intraciliary transport"
GO:0034310	11077	10	104	2	0.003740528318868599	0.16616827794276873	1.3101055590079439E-34	"primary alcohol catabolic process"
