ID	Pop.total	Pop.term	Study.total	Study.term	p	p.adjusted	p.min	name
GO:0050789	9140	5316	6102	3717	2.7152460395269014E-14	4.624335529918266E-10	0.0	"regulation of biological process"
GO:0043170	9140	5058	6102	3541	1.4050568109176642E-13	1.024554472980447E-9	0.0	"macromolecule metabolic process"
GO:0003723	9140	1218	6102	922	2.2436982948465827E-13	1.024554472980447E-9	0.0	"RNA binding"
GO:0005515	9140	6303	6102	4360	2.461154425556451E-13	1.024554472980447E-9	0.0	"protein binding"
GO:0044260	9140	4475	6102	3150	3.007910495509503E-13	1.024554472980447E-9	0.0	"cellular macromolecule metabolic process"
GO:0065007	9140	5623	6102	3911	5.449983768463984E-13	1.3729304503922491E-9	0.0	"biological regulation"
GO:0005634	9140	4295	6102	3027	6.6896915779797E-13	1.3729304503922491E-9	0.0	"nucleus"
GO:0005488	9140	7457	6102	5104	7.176459130130816E-13	1.3729304503922491E-9	0.0	"binding"
GO:0050794	9140	5046	6102	3528	7.255225209048348E-13	1.3729304503922491E-9	0.0	"regulation of cellular process"
GO:0003676	9140	2397	6102	1735	3.804876205107801E-12	6.480084664919097E-9	0.0	"nucleic acid binding"
GO:0005622	9140	7753	6102	5288	5.0313372357930396E-12	7.789882223890114E-9	0.0	"intracellular"
GO:0097159	9140	3531	6102	2506	5.71175482329499E-12	8.106408032961415E-9	0.0	"organic cyclic compound binding"
GO:0060255	9140	3271	6102	2329	7.813404432200226E-12	1.0236160837292465E-8	0.0	"regulation of macromolecule metabolic process"
GO:0044424	9140	7634	6102	5210	1.2394607517271766E-11	1.5078040044761103E-8	0.0	"intracellular part"
GO:1901363	9140	3502	6102	2483	1.6697541281532414E-11	1.8958388371051906E-8	0.0	"heterocyclic compound binding"
GO:0043226	9140	7174	6102	4912	3.254942810158026E-11	3.4646831874875835E-8	0.0	"organelle"
GO:0043229	9140	6925	6102	4750	4.32017290726679E-11	4.009245866868931E-8	0.0	"intracellular organelle"
GO:0044464	9140	8012	6102	5447	4.376199991189217E-11	4.009245866868931E-8	0.0	"cell part"
GO:0005623	9140	8020	6102	5452	4.472765631525436E-11	4.009245866868931E-8	0.0	"cell"
GO:0019222	9140	3527	6102	2495	7.509921789892562E-11	6.395073900183011E-8	0.0	"regulation of metabolic process"
GO:0071840	9140	4656	6102	3247	4.2655838210831086E-10	3.4593884788984007E-7	0.0	"cellular component organization or biogenesis"
GO:0080090	9140	3207	6102	2272	5.239955467389849E-10	4.056440071141659E-7	0.0	"regulation of primary metabolic process"
GO:0005829	9140	3202	6102	2268	6.273826032397447E-10	4.6456317894678665E-7	0.0	"cytosol"
GO:0016043	9140	4549	6102	3173	8.628668882590549E-10	6.123119155808318E-7	0.0	"cellular component organization"
GO:0009987	9140	7482	6102	5101	9.276876219657805E-10	6.319779155879683E-7	0.0	"cellular process"
GO:0032991	9140	3327	6102	2351	1.0030254598944365E-9	6.570202541331595E-7	0.0	"protein-containing complex"
GO:0010468	9140	2438	6102	1745	1.6425396888595132E-9	1.0360775348506063E-6	0.0	"regulation of gene expression"
GO:0051171	9140	3119	6102	2207	2.4840844931780514E-9	1.5106870879666027E-6	0.0	"regulation of nitrogen compound metabolic process"
GO:0006807	9140	5463	6102	3777	2.5723636633803933E-9	1.5106870879666027E-6	0.0	"nitrogen compound metabolic process"
GO:0043227	9140	6765	6102	4632	3.5716312895047187E-9	2.0276150830518287E-6	0.0	"membrane-bounded organelle"
GO:0044267	9140	2996	6102	2119	9.087538774289415E-9	4.992576544029775E-6	0.0	"cellular protein metabolic process"
GO:0005654	9140	2428	6102	1732	1.0646822307051103E-8	5.666438459730854E-6	0.0	"nucleoplasm"
GO:0006950	9140	1977	6102	1421	2.1042054159964605E-8	1.0859612860556279E-5	0.0	"response to stress"
GO:0051704	9140	1211	6102	891	2.3918276326288885E-8	1.1980946003324294E-5	0.0	"multi-organism process"
GO:0044238	9140	5717	6102	3936	2.7872139954917066E-8	1.3562583302062643E-5	0.0	"primary metabolic process"
GO:0044446	9140	5659	6102	3897	3.288670929012408E-8	1.55581540533362E-5	0.0	"intracellular organelle part"
GO:0044428	9140	3123	6102	2200	3.552181917615189E-8	1.635059736186602E-5	0.0	"nuclear part"
GO:0006996	9140	3113	6102	2193	3.775114113591469E-8	1.691946538646745E-5	0.0	"organelle organization"
GO:0003674	9140	8168	6102	5529	4.253938270951324E-8	1.857662120322359E-5	0.0	"molecular_function"
GO:0031323	9140	3298	6102	2317	5.025299788586933E-8	2.1396470174856015E-5	0.0	"regulation of cellular metabolic process"
GO:0043231	9140	6419	6102	4396	5.2244127204773986E-8	2.1701700742061116E-5	0.0	"intracellular membrane-bounded organelle"
GO:0000000	9140	8616	6102	5809	6.629969234902109E-8	2.665088863560913E-5	0.0	"Gene Ontology"
GO:0010467	9140	3069	6102	2161	6.728836893495347E-8	2.665088863560913E-5	0.0	"gene expression"
GO:0019538	9140	3289	6102	2308	1.05430329432501E-7	4.0808725921930104E-5	0.0	"protein metabolic process"
GO:0008150	9140	8015	6102	5429	1.1238087896403031E-7	4.2016417608571746E-5	0.0	"biological_process"
GO:0033554	9140	1302	6102	950	1.1559932419170028E-7	4.2016417608571746E-5	0.0	"cellular response to stress"
GO:0009059	9140	2836	6102	2001	1.1595159577258365E-7	4.2016417608571746E-5	0.0	"macromolecule biosynthetic process"
GO:0044422	9140	5717	6102	3930	1.2468420576809555E-7	4.42395147590924E-5	0.0	"organelle part"
GO:0090304	9140	2965	6102	2088	1.30313740526505E-7	4.529333295728381E-5	0.0	"nucleic acid metabolic process"
GO:0050896	9140	4157	6102	2891	1.332847084136265E-7	4.539943737984946E-5	0.0	"response to stimulus"
GO:0071704	9140	5863	6102	4026	1.4052291570157958E-7	4.6926387790462784E-5	0.0	"organic substance metabolic process"
GO:0005575	9140	8349	6102	5639	2.5334765673709987E-7	8.297622965172208E-5	0.0	"cellular_component"
GO:0034645	9140	2773	6102	1955	2.6799196726501696E-7	8.61164376318963E-5	0.0	"cellular macromolecule biosynthetic process"
GO:0050839	9140	320	6102	254	2.855083141233559E-7	9.004614995990507E-5	0.0	"cell adhesion molecule binding"
GO:0036211	9140	2396	6102	1698	3.220622642049536E-7	9.972804403044664E-5	0.0	"protein modification process"
GO:0006464	9140	2394	6102	1696	3.811162329172081E-7	1.1409427360393269E-4	0.0	"cellular protein modification process"
GO:0044237	9140	5777	6102	3965	3.818550640258449E-7	1.1409427360393269E-4	0.0	"cellular metabolic process"
GO:0051276	9140	787	6102	587	4.051366697037468E-7	1.1896349347800883E-4	0.0	"chromosome organization"
GO:0031981	9140	2907	6102	2044	4.251357640673534E-7	1.227201219971372E-4	0.0	"nuclear lumen"
GO:0070647	9140	850	6102	631	4.5548686798286794E-7	1.2741041582862894E-4	0.0	"protein modification by small protein conjugation or removal"
GO:0051716	9140	3605	6102	2515	4.5634638985064677E-7	1.2741041582862894E-4	0.0	"cellular response to stimulus"
GO:0070013	9140	3505	6102	2447	5.322773460168172E-7	1.4164399187519396E-4	0.0	"intracellular organelle lumen"
GO:0043233	9140	3505	6102	2447	5.322773460168172E-7	1.4164399187519396E-4	0.0	"organelle lumen"
GO:0031974	9140	3505	6102	2447	5.322773460168172E-7	1.4164399187519396E-4	0.0	"membrane-enclosed lumen"
GO:0048518	9140	2999	6102	2104	7.399828084977178E-7	1.9388688017730205E-4	0.0	"positive regulation of biological process"
GO:0051252	9140	2042	6102	1453	8.078388593624352E-7	2.0845914566366112E-4	0.0	"regulation of RNA metabolic process"
GO:0048522	9140	2705	6102	1904	9.018886420251125E-7	2.2925470839298048E-4	0.0	"positive regulation of cellular process"
GO:0034641	9140	3744	6102	2605	1.0161389813037949E-6	2.544979851556608E-4	0.0	"cellular nitrogen compound metabolic process"
GO:0019219	9140	2250	6102	1594	1.048510199445948E-6	2.587996696632455E-4	0.0	"regulation of nucleobase-containing compound metabolic process"
GO:0080134	9140	782	6102	581	1.1383087521569228E-6	2.769505193997793E-4	0.0	"regulation of response to stress"
GO:0006974	9140	599	6102	451	1.7146407686774935E-6	4.112964356527661E-4	0.0	"cellular response to DNA damage stimulus"
GO:0043412	9140	2534	6102	1784	2.339122353734434E-6	5.532999000895993E-4	0.0	"macromolecule modification"
GO:0043232	9140	2921	6102	2046	2.5167944395243295E-6	5.871576584789499E-4	0.0	"intracellular non-membrane-bounded organelle"
GO:0043228	9140	2927	6102	2050	2.551210541215565E-6	5.871576584789499E-4	0.0	"non-membrane-bounded organelle"
GO:0044419	9140	626	6102	469	2.797373176876143E-6	6.352275010050346E-4	0.0	"interspecies interaction between organisms"
GO:0008152	9140	6019	6102	4116	2.9031888179277272E-6	6.505816941858832E-4	0.0	"metabolic process"
GO:0015931	9140	174	6102	143	3.4890966220822113E-6	7.717247346841837E-4	0.0	"nucleobase-containing compound transport"
GO:0016070	9140	2637	6102	1852	3.6643692598810155E-6	8.001009341670971E-4	0.0	"RNA metabolic process"
GO:0010556	9140	2218	6102	1567	3.889359903643894E-6	8.356711084265215E-4	0.0	"regulation of macromolecule biosynthetic process"
GO:0048519	9140	2723	6102	1910	3.92541181810356E-6	8.356711084265215E-4	0.0	"negative regulation of biological process"
GO:0044271	9140	2939	6102	2056	4.119924046647939E-6	8.662521782526056E-4	0.0	"cellular nitrogen compound biosynthetic process"
GO:0009889	9140	2347	6102	1654	4.710886327218701E-6	9.784281102300206E-4	0.0	"regulation of biosynthetic process"
GO:0044265	9140	823	6102	606	4.883864599927073E-6	0.001002133710859735	0.0	"cellular macromolecule catabolic process"
GO:0045296	9140	256	6102	203	5.121150874951484E-6	0.0010383133398964132	0.0	"cadherin binding"
GO:0044403	9140	621	6102	464	5.281809976432165E-6	0.0010582883024543085	0.0	"symbiont process"
GO:0009057	9140	941	6102	688	5.482251689726213E-6	0.001070498158559378	0.0	"macromolecule catabolic process"
GO:0050657	9140	148	6102	123	5.53131571564942E-6	0.001070498158559378	0.0	"nucleic acid transport"
GO:0050658	9140	148	6102	123	5.53131571564942E-6	0.001070498158559378	0.0	"RNA transport"
GO:0019899	9140	1513	6102	1083	6.225638173419273E-6	0.0011913353228258836	0.0	"enzyme binding"
GO:0032774	9140	1979	6102	1402	6.444788459941123E-6	0.0012195688029028586	0.0	"RNA biosynthetic process"
GO:0097659	9140	1969	6102	1395	6.730800802638092E-6	0.0012596952579091137	0.0	"nucleic acid-templated transcription"
GO:0007059	9140	217	6102	174	6.866081975949105E-6	0.0012710461101346653	0.0	"chromosome segregation"
GO:0000793	9140	155	6102	128	6.956269924993953E-6	0.0012738949794900217	0.0	"condensed chromosome"
GO:2000112	9140	2157	6102	1523	7.0704837914114705E-6	0.0012810362707609442	0.0	"regulation of cellular macromolecule biosynthetic process"
GO:0007049	9140	1183	6102	855	7.311432530296767E-6	0.001310747446562992	0.0	"cell cycle"
GO:0022402	9140	974	6102	710	7.607506573958899E-6	0.0013496192131363962	0.0	"cell cycle process"
GO:0032446	9140	761	6102	561	9.003204316916354E-6	0.0015807584816639425	0.0	"protein modification by small protein conjugation"
GO:1990904	9140	647	6102	481	9.117067541641978E-6	0.0015844160949153522	0.0	"ribonucleoprotein complex"
GO:0006403	9140	181	6102	147	9.48418603607607E-6	0.001631567397781935	0.0	"RNA localization"
GO:0098813	9140	169	6102	138	1.0205471282032274E-5	0.0017380938140429166	0.0	"nuclear chromosome segregation"
GO:0006351	9140	1941	6102	1374	1.0756232871998249E-5	0.0018137564558713085	0.0	"transcription, DNA-templated"
GO:0010605	9140	1554	6102	1109	1.1244742717890302E-5	0.0018775413061606838	0.0	"negative regulation of macromolecule metabolic process"
GO:0048523	9140	2432	6102	1707	1.4134170193438136E-5	0.002337078180237329	0.0	"negative regulation of cellular process"
GO:0040029	9140	213	6102	170	1.4766563805076675E-5	0.002410619686252745	0.0	"regulation of gene expression, epigenetic"
GO:0044444	9140	5573	6102	3813	1.4945575261923661E-5	0.002410619686252745	0.0	"cytoplasmic part"
GO:0043933	9140	1839	6102	1303	1.5003563310597792E-5	0.002410619686252745	0.0	"protein-containing complex subunit organization"
GO:0080135	9140	452	6102	342	1.540001903569533E-5	0.0024511936840834318	0.0	"regulation of cellular response to stress"
GO:0000280	9140	766	6102	563	1.5666835388253075E-5	0.0024705729027531304	0.0	"nuclear division"
GO:0048583	9140	2027	6102	1431	1.6060401651791974E-5	0.002509400922308891	0.0	"regulation of response to stimulus"
GO:0006725	9140	3432	6102	2382	1.665571318857205E-5	0.00257139586022785	0.0	"cellular aromatic compound metabolic process"
GO:0051236	9140	151	6102	124	1.6759141593875368E-5	0.00257139586022785	0.0	"establishment of RNA localization"
GO:0006139	9140	3346	6102	2324	1.6986595049484248E-5	0.0025830241097121983	0.0	"nucleobase-containing compound metabolic process"
GO:0043624	9140	601	6102	447	1.7787695950169473E-5	0.002680904864843684	0.0	"cellular protein complex disassembly"
GO:0010604	9140	1754	6102	1244	1.879621666066156E-5	0.0028080558416467283	0.0	"positive regulation of macromolecule metabolic process"
GO:0016032	9140	593	6102	441	2.0690344964691117E-5	0.003064150131249169	0.0	"viral process"
GO:0032502	9140	2767	6102	1932	2.1761350721130134E-5	0.003194979001134201	0.0	"developmental process"
GO:0046483	9140	3415	6102	2369	2.2746359933265676E-5	0.0033055538897649984	0.0	"heterocycle metabolic process"
GO:0031326	9140	2310	6102	1622	2.290266919102048E-5	0.0033055538897649984	0.0	"regulation of cellular biosynthetic process"
GO:0000775	9140	149	6102	122	2.580074388521364E-5	0.0036756544468222597	0.0	"chromosome, centromeric region"
GO:0009892	9140	1674	6102	1188	2.5898569292388653E-5	0.0036756544468222597	0.0	"negative regulation of metabolic process"
GO:2001141	9140	1866	6102	1319	2.7117746822491854E-5	0.0038168788936682545	0.0	"regulation of RNA biosynthetic process"
GO:0016567	9140	704	6102	518	2.8767959595823152E-5	0.0040159599989874105	0.0	"protein ubiquitination"
GO:1903506	9140	1865	6102	1318	2.92485513273437E-5	0.004049854289886102	0.0	"regulation of nucleic acid-templated transcription"
GO:0048285	9140	789	6102	577	3.241528309440847E-5	0.004452134567587667	0.0	"organelle fission"
GO:0051130	9140	716	6102	526	3.31415152677575E-5	0.004515465172201424	0.0	"positive regulation of cellular component organization"
GO:0051173	9140	1680	6102	1191	3.4046390618314427E-5	0.004600476508690842	0.0	"positive regulation of nitrogen compound metabolic process"
GO:0071310	9140	1298	6102	929	3.4305708214651926E-5	0.004600476508690842	0.0	"cellular response to organic substance"
GO:0006355	9140	1828	6102	1292	3.494928352498674E-5	0.004650165997766009	0.0	"regulation of transcription, DNA-templated"
GO:0140096	9140	1950	6102	1375	3.6648836609112945E-5	0.004838498730928702	0.0	"catalytic activity, acting on a protein"
GO:0006259	9140	668	6102	492	3.886794066448139E-5	0.00509199921120602	0.0	"DNA metabolic process"
GO:0022618	9140	641	6102	473	4.026895253507176E-5	0.005235271226143566	0.0	"ribonucleoprotein complex assembly"
GO:0071103	9140	181	6102	145	4.3565696091632855E-5	0.005620964925277266	0.0	"DNA conformation change"
GO:0009893	9140	1862	6102	1314	4.6270125919419324E-5	0.005925011387470906	0.0	"positive regulation of metabolic process"
GO:0051246	9140	1568	6102	1113	4.7745108996446645E-5	0.006051842225700778	0.0	"regulation of protein metabolic process"
GO:0065003	9140	1745	6102	1234	4.7971270064564914E-5	0.006051842225700778	0.0	"protein-containing complex assembly"
GO:0070887	9140	1536	6102	1091	4.881861239094734E-5	0.006113454320810472	0.0	"cellular response to chemical stimulus"
GO:1901360	9140	3540	6102	2449	5.012168634594345E-5	0.006230820731078561	0.0	"organic cyclic compound metabolic process"
GO:0000819	9140	138	6102	113	5.081901447599689E-5	0.006271729243048572	4.79544102835347E-310	"sister chromatid segregation"
GO:0044877	9140	645	6102	475	5.431186117664076E-5	0.006654570558988265	0.0	"protein-containing complex binding"
GO:0022613	9140	779	6102	568	6.474000459397102E-5	0.007875621558856575	0.0	"ribonucleoprotein complex biogenesis"
GO:1901576	9140	3547	6102	2452	6.89530706335567E-5	0.00813281061118771	0.0	"organic substance biosynthetic process"
GO:0001677	9140	539	6102	400	6.97964366887127E-5	0.00813281061118771	0.0	"formation of translation initiation ternary complex"
GO:0006412	9140	539	6102	400	6.97964366887127E-5	0.00813281061118771	0.0	"translation"
GO:0006413	9140	539	6102	400	6.97964366887127E-5	0.00813281061118771	0.0	"translational initiation"
GO:0006414	9140	539	6102	400	6.97964366887127E-5	0.00813281061118771	0.0	"translational elongation"
GO:0006415	9140	539	6102	400	6.97964366887127E-5	0.00813281061118771	0.0	"translational termination"
GO:0071826	9140	646	6102	475	7.019688566993091E-5	0.00813281061118771	0.0	"ribonucleoprotein complex subunit organization"
GO:0002376	9140	1302	6102	929	7.1695063039084E-5	0.00825026093661243	0.0	"immune system process"
GO:0016458	9140	167	6102	134	7.300910267675964E-5	0.008345087434146936	0.0	"gene silencing"
GO:0048869	9140	1877	6102	1322	7.687683502568427E-5	0.008728595848816191	0.0	"cellular developmental process"
GO:0043043	9140	548	6102	406	7.932770763666893E-5	0.008928769002241276	0.0	"peptide biosynthetic process"
GO:0009058	9140	3569	6102	2466	7.968838519996912E-5	0.008928769002241276	0.0	"biosynthetic process"
GO:0005737	9140	6315	6102	4295	8.494434972412576E-5	0.009455472027134548	0.0	"cytoplasm"
GO:0044085	9140	3032	6102	2104	8.773358382721752E-5	0.009609070468527707	0.0	"cellular component biogenesis"
GO:0043604	9140	594	6102	438	8.778728415536016E-5	0.009609070468527707	0.0	"amide biosynthetic process"
GO:1901564	9140	3826	6102	2638	8.801685121779827E-5	0.009609070468527707	0.0	"organonitrogen compound metabolic process"
GO:0032268	9140	1480	6102	1050	9.400859785118625E-5	0.010197837133780594	0.0	"regulation of cellular protein metabolic process"
GO:0003677	9140	1324	6102	943	9.548700547844702E-5	0.010292653103186274	0.0	"DNA binding"
GO:1990234	9140	606	6102	446	1.0185558979251903E-4	0.010664921330881363	0.0	"transferase complex"
GO:0000278	9140	712	6102	520	1.0198982140091932E-4	0.010664921330881363	0.0	"mitotic cell cycle"
GO:1903047	9140	712	6102	520	1.0198982140091932E-4	0.010664921330881363	0.0	"mitotic cell cycle process"
GO:0140014	9140	712	6102	520	1.0198982140091932E-4	0.010664921330881363	0.0	"mitotic nuclear division"
GO:0006955	9140	866	6102	627	1.0207164446795033E-4	0.010664921330881363	0.0	"immune response"
GO:0032269	9140	644	6102	472	1.245070804001493E-4	0.012929756623749651	0.0	"negative regulation of cellular protein metabolic process"
GO:0010033	9140	1571	6102	1111	1.267131892732368E-4	0.013052463313372047	0.0	"response to organic substance"
GO:0044249	9140	3491	6102	2411	1.2722147319709705E-4	0.013052463313372047	0.0	"cellular biosynthetic process"
