cohort	srp	srr	category	status	isPaired	BioSample
9	SRP040070	SRR1191694	MRC5HighMOI.MERS.n/a.48h	case	PAIRED	SAMN02689052
9	SRP040070	SRR1191695	MRC5HighMOI.MERS.n/a.48h	case	PAIRED	SAMN02689052
9	SRP040070	SRR1191783	MRC5HighMOI.MERS.n/a.48h	case	PAIRED	SAMN02689053
9	SRP040070	SRR1191876	MRC5HighMOI.MERS.n/a.48h	case	PAIRED	SAMN02689055
9	SRP040070	SRR1192353	MRC5.MOCK.n/a.0h	control	PAIRED	SAMN02689146
9	SRP040070	SRR1192354	MRC5.MOCK.n/a.0h	control	PAIRED	SAMN02689146
9	SRP040070	SRR1192370	MRC5.MOCK.n/a.0h	control	PAIRED	SAMN02689147
9	SRP040070	SRR1192371	MRC5.MOCK.n/a.0h	control	PAIRED	SAMN02689147
9	SRP040070	SRR1192398	MRC5.MOCK.n/a.0h	control	PAIRED	SAMN02689148
9	SRP040070	SRR1192399	MRC5.MOCK.n/a.0h	control	PAIRED	SAMN02689148
